PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Deck,Title,FamilySize,IsAlone,AgeGroup,FareGroup,Sex_encoded,Embarked_encoded
892,0,3,male,34.5,0,0,7.8292,Q,0,Unknown,Mr,1,1,Adult,Low,0,2
893,1,3,female,47,1,0,7,S,0,Unknown,Mrs,2,0,MiddleAge,Low,1,0
894,0,2,male,62,0,0,9.6875,Q,0,Unknown,Mr,1,1,Senior,Medium,0,2
895,0,3,male,27,0,0,8.6625,S,0,Unknown,Mr,1,1,Adult,Medium,0,0
896,1,3,female,22,1,1,12.2875,S,0,Unknown,Mrs,3,0,Adult,Medium,1,0
897,0,3,male,14,0,0,9.225,S,0,Unknown,Mr,1,1,Teen,Medium,0,0
898,1,3,female,30,0,0,7.6292,Q,0,Unknown,Miss,1,1,Adult,Low,1,2
899,0,2,male,26,1,1,29,S,0,Unknown,Mr,3,0,Adult,High,0,0
900,1,3,female,18,0,0,7.2292,C,0,Unknown,Mrs,1,1,Teen,Low,1,1
901,0,3,male,21,2,0,24.15,S,0,Unknown,Mr,3,0,Adult,High,0,0
902,0,3,male,24,0,0,7.8958,S,0,Unknown,Mr,1,1,Adult,Low,0,0
903,0,1,male,46,0,0,26,S,0,Unknown,Mr,1,1,MiddleAge,High,0,0
904,1,1,female,23,1,0,82.2667,S,1,B,Mrs,2,0,Adult,VeryHigh,1,0
905,0,2,male,63,1,0,26,S,0,Unknown,Mr,2,0,Senior,High,0,0
906,1,1,female,47,1,0,61.175,S,1,E,Mrs,2,0,MiddleAge,VeryHigh,1,0
907,1,2,female,24,1,0,27.7208,C,0,Unknown,Mrs,2,0,Adult,High,1,1
908,0,2,male,35,0,0,12.35,Q,0,Unknown,Mr,1,1,Adult,Medium,0,2
909,0,3,male,21,0,0,7.225,C,0,Unknown,Mr,1,1,Adult,Low,0,1
910,1,3,female,27,1,0,7.925,S,0,Unknown,Miss,2,0,Adult,Medium,1,0
911,1,3,female,45,0,0,7.225,C,0,Unknown,Mrs,1,1,MiddleAge,Low,1,1
912,0,1,male,55,1,0,59.4,C,0,Unknown,Mr,2,0,MiddleAge,VeryHigh,0,1
913,0,3,male,9,0,1,3.1708,S,0,Unknown,Master,2,0,Child,Low,0,0
914,1,1,female,41,0,0,31.6833,S,0,Unknown,Mrs,1,1,MiddleAge,VeryHigh,1,0
